Bug-ID;OB-ID;OB-Text;OB-in-Title?;Bug-Category;Bug-Type;OB-Category;OB-Rating;Ground-Truth;First-Rank;Reciprocal-Rank;Average-Precision;h@1;h@2;h@3;h@4;h@5;h@6;h@7;h@8;h@9;h@10
Bug2;0;app crash when change view by in report section;1;Non-Synthetic Bug;App crashes;Easy;3;['5', '6', '8'];1;1.0;0.6805555555555555;1;1;1;1;1;1;1;1;1;1
Bug2;0;app crash when change view by in report section;1;Non-Synthetic Bug;App crashes;Easy;3;['5', '6', '8'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug2;1;"when the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will crash and stop working";0;Non-Synthetic Bug;App crashes;Easy;5;['5', '6', '8'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug2;1;"when the user changes the appearance of the report from ""view value"" to ""use percent value"" this application will crash and stop working";0;Non-Synthetic Bug;App crashes;Easy;5;['5', '6', '8'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug2;2;6. see errors;0;Non-Synthetic Bug;App crashes;Hard;1;['5', '6', '8'];2;0.5;0.3869047619047618;0;1;1;1;1;1;1;1;1;1
Bug2;2;6. see errors;0;Non-Synthetic Bug;App crashes;Hard;1;['5', '6', '8'];2;0.5;0.5555555555555555;0;1;1;1;1;1;1;1;1;1
Bug8;0;NPE on create payment;1;Non-Synthetic Bug;App crashes;Easy;2;['0'];2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug10;0;FTP server restarted if app is killed after stopping it;1;Non-Synthetic Bug;Undesirable  behavior ;Hard;4;['2', '3', '4'];7;0.1428571428571428;0.1986161986161986;0;0;0;0;0;0;1;1;1;1
Bug10;1;Server restarts by its own.;0;Non-Synthetic Bug;Undesirable  behavior ;Hard;2;['2', '3', '4'];2;0.5;0.3588235294117647;0;1;1;1;1;1;1;1;1;1
Bug19;0;cursor jumps before housenumber when adding letter;1;Synthetic Bug;Uneditable component;Easy;4;['1'];18;0.0555555555555555;0.0555555555555555;0;0;0;0;0;0;0;0;0;0
Bug19;1;"3. the cursor jumps before the number, so when you insert ""a"" you have ""a10"" instead of ""10a""";0;Synthetic Bug;Undesirable component;Easy;5;['1'];10;0.1;0.1;0;0;0;0;0;0;0;0;0;1
Bug44;0;Tag text removal bug by using checkbox;1;Synthetic Bug;Undesirable component;Hard;2;['9'];11;0.0909090909090909;0.0909090909090909;0;0;0;0;0;0;0;0;0;0
Bug44;0;Tag text removal bug by using checkbox;1;Synthetic Bug;Undesirable component;Hard;2;['9'];8;0.125;0.125;0;0;0;0;0;0;0;1;1;1
Bug44;1;Tag text removal bug;0;Synthetic Bug;Undesirable component;Hard;2;['9'];8;0.125;0.125;0;0;0;0;0;0;0;1;1;1
